Depth;DEPOFACIES;GR;GR_SHAPE;LLD;NPHI;PHIE;RHOB;ROCK_TYPE;VWCL
M;;gAPI;;ohm.m;m3/m3;Dec;g/cm3;;Dec
1782.7500;1.0000;157.7728;2.0000;0.7775;0.3695;0.0711;1.9124;-9999;0.5370
1782.9000;1.0000;155.0270;2.0000;0.7670;0.3592;0.0990;1.9478;-9999;0.5108
1783.0500;1.0000;158.6678;2.0000;0.8690;0.3488;0.0759;1.9832;-9999;0.5320
1783.2000;1.0000;162.3120;2.0000;0.9710;0.3592;0.0462;2.0186;-9999;0.5675
1783.3500;1.0000;161.1126;2.0000;0.8595;0.3695;0.0491;1.9478;-9999;0.5634
1783.5000;1.0000;159.9120;2.0000;0.7480;0.3798;0.0519;1.8770;-9999;0.5596
1783.6500;1.0000;159.1159;2.0000;0.7120;0.3643;0.0643;1.8997;-9999;0.5444
1783.8000;1.0000;158.3190;2.0000;0.6760;0.3488;0.0786;1.9225;-9999;0.5293
1783.9500;1.0000;150.9390;2.0000;0.6685;0.3333;0.1120;1.9453;-9999;0.4677
1784.1000;1.0000;143.5520;2.0000;0.6610;0.3178;0.1274;1.9680;-9999;0.4128
1784.2500;1.0000;140.2101;2.0000;0.6290;0.3488;0.1607;1.9908;-9999;0.4118
1784.4000;1.0000;136.8650;2.0000;0.5970;0.3798;0.1931;2.0135;-9999;0.4116
1784.5500;1.0000;138.6602;2.0000;0.5760;0.4109;0.1977;2.0363;-9999;0.4388
1784.7000;1.0000;140.4570;2.0000;0.5550;0.4419;0.1582;2.0127;-9999;0.4663
1784.8500;1.0000;147.6876;2.0000;0.5375;0.4380;0.1040;1.9891;-9999;0.5066
1785.0000;1.0000;154.9250;2.0000;0.5200;0.4341;0.0572;1.9655;-9999;0.5528
1785.1500;1.0000;157.3184;2.0000;0.6524;0.4302;0.0457;1.9419;-9999;0.5682
1785.3000;1.0000;159.7140;2.0000;0.7850;0.4264;0.0355;1.9183;-9999;0.5846
1785.4500;1.0000;158.0178;2.0000;0.7775;0.4083;0.0508;1.8947;-9999;0.5610
1785.6000;1.0000;156.3200;2.0000;0.7700;0.3902;0.0702;1.8711;-9999;0.5380
1785.7500;1.0000;152.1315;2.0000;0.8470;0.3721;0.1147;1.8475;-9999;0.4980
1785.9000;1.0000;147.9390;2.0000;0.9240;0.3540;0.1380;1.8239;-9999;0.4602
1786.0500;1.0000;145.0524;2.0000;0.7886;0.3359;0.1352;1.8748;-9999;0.4321
1786.2000;1.0000;142.1630;2.0000;0.6530;0.3178;0.1320;1.9257;-9999;0.4048
1786.3500;1.0000;142.8122;2.0000;0.6055;0.3152;0.1280;1.9765;-9999;0.4071
1786.5000;1.0000;143.4620;2.0000;0.5580;0.3127;0.1240;2.0274;-9999;0.4093
1786.6500;1.0000;142.9083;2.0000;0.5405;0.3101;0.1240;2.0783;-9999;0.4046
1786.8000;1.0000;142.3540;2.0000;0.5230;0.3075;0.1240;2.1292;-9999;0.3999
1786.9500;1.0000;140.3589;2.0000;0.7484;0.3049;0.1286;2.1801;-9999;0.3872
1787.1000;1.0000;138.3620;2.0000;0.9740;0.3023;0.1330;2.2310;-9999;0.3749
1787.2500;1.0000;138.4130;2.0000;1.3878;0.3090;0.1380;2.2162;-9999;0.3790
1787.4000;1.0000;138.4640;2.0000;1.8020;0.3156;0.1448;2.2015;-9999;0.3831
1787.5500;1.0000;144.2528;2.0000;1.7910;0.3223;0.1302;2.1867;-9999;0.4195
1787.7000;1.0000;150.0470;2.0000;1.7800;0.3289;0.1135;2.1720;-9999;0.4593
1787.8500;1.0000;147.5517;2.0000;1.7650;0.3355;0.1283;2.1572;-9999;0.4472
1788.0000;1.0000;145.0540;2.0000;1.7500;0.3422;0.1426;2.1425;-9999;0.4358
1788.1500;1.0000;147.1990;2.0000;1.6441;0.3488;0.1395;2.0540;-9999;0.4526
1788.3000;1.0000;149.3460;2.0000;1.5380;0.3519;0.1332;1.9655;-9999;0.4680
1788.4500;1.0000;152.1852;2.0000;1.3516;0.3550;0.1234;1.9867;-9999;0.4886
1788.6000;1.0000;155.0270;2.0000;1.1650;0.3581;0.0997;2.0080;-9999;0.5102
1788.7500;1.0000;159.7657;2.0000;1.1285;0.3612;0.0614;2.0292;-9999;0.5478
1788.9000;1.0000;164.5090;2.0000;1.0920;0.3643;0.0328;2.0504;-9999;0.5896
1789.0500;1.0000;165.8044;2.0000;1.0205;0.3488;0.0313;2.0717;-9999;0.5925
1789.2000;1.0000;167.1010;2.0000;0.9490;0.3333;0.0297;2.0611;-9999;0.5958
1789.3500;1.0000;167.8456;2.0000;0.9260;0.3333;0.0263;2.0504;-9999;0.6031
1789.5000;1.0000;168.5910;2.0000;0.9030;0.3256;0.0207;2.0398;-9999;0.6061
1789.6500;1.0000;168.7944;2.0000;1.0399;0.3178;0.0149;2.0292;-9999;0.6036
1789.8000;1.0000;168.9980;2.0000;1.1770;0.3101;0.0091;2.0186;-9999;0.6012
1789.9500;1.0000;169.5967;2.0000;1.2360;0.3023;0.0012;2.0115;-9999;0.6029
1790.1000;1.0000;170.1960;2.0000;1.2950;0.3054;0.0001;2.0044;-9999;0.6110
1790.2500;1.0000;176.8763;2.0000;1.3340;0.3085;0.0001;1.9973;-9999;0.6326
1790.4000;1.0000;183.5630;2.0000;1.3730;0.3116;0.0001;1.9903;-9999;0.6344
1790.5500;1.0000;180.2691;2.0000;1.3690;0.3147;0.0001;1.9832;-9999;0.6362
1790.7000;1.0000;176.9720;2.0000;1.3650;0.3178;0.0001;2.0009;-9999;0.6380
1790.8500;1.0000;172.3857;2.0000;1.3630;0.3209;0.0001;2.0186;-9999;0.6398
1791.0000;1.0000;167.7950;2.0000;1.3610;0.3240;0.0237;2.0363;-9999;0.5972
1791.1500;1.0000;163.1552;2.0000;1.3645;0.3271;0.0508;2.0392;-9999;0.5563
1791.3000;1.0000;158.5110;2.0000;1.3680;0.3302;0.0769;2.0422;-9999;0.5201
1791.4500;1.0000;156.5184;2.0000;1.3180;0.3333;0.0887;2.0451;-9999;0.5068
1791.6000;1.0000;154.5240;2.0000;1.2680;0.3364;0.0999;2.0481;-9999;0.4941
1791.7500;1.0000;152.6304;2.0000;1.1266;0.3395;0.1098;2.0510;-9999;0.4827
1791.9000;1.0000;150.7350;2.0000;0.9850;0.3426;0.1194;2.0540;-9999;0.4717
1792.0500;1.0000;150.8365;2.0000;0.9230;0.3457;0.1213;2.0392;-9999;0.4742
1792.2000;1.0000;150.9380;2.0000;0.8610;0.3488;0.1231;2.0245;-9999;0.4766
1792.3500;1.0000;155.4733;2.0000;0.8345;0.3519;0.1001;2.0097;-9999;0.5099
1792.5000;1.0000;160.0130;2.0000;0.8080;0.3550;0.0627;1.9950;-9999;0.5462
1792.6500;1.0000;167.2411;2.0000;0.8290;0.3581;0.0229;1.9802;-9999;0.6115
1792.8000;1.0000;174.4760;2.0000;0.8500;0.3612;0.0089;1.9655;-9999;0.6630
1792.9500;1.0000;167.5473;2.0000;0.7985;0.3643;0.0204;1.9596;-9999;0.6180
1793.1000;1.0000;160.6120;2.0000;0.7470;0.3643;0.0544;1.9537;-9999;0.5564
1793.2500;1.0000;158.5685;2.0000;0.7390;0.3643;0.0682;1.9478;-9999;0.5402
1793.4000;1.0000;156.5230;2.0000;0.7310;0.3643;0.0835;1.9950;-9999;0.5247
1793.5500;1.0000;153.4839;2.0000;0.7060;0.3643;0.1086;2.0422;-9999;0.5028
1793.7000;1.0000;150.4420;2.0000;0.6810;0.3643;0.1357;2.0894;-9999;0.4822
1793.8500;1.0000;150.9413;2.0000;0.6310;0.3643;0.1312;2.0540;-9999;0.4855
1794.0000;1.0000;151.4410;2.0000;0.5810;0.3577;0.1275;2.0186;-9999;0.4851
1794.1500;1.0000;157.7715;2.0000;0.5570;0.3511;0.0816;1.9832;-9999;0.5264
1794.3000;1.0000;164.1080;2.0000;0.5330;0.3444;0.0415;1.9979;-9999;0.5746
1794.4500;1.0000;172.3796;2.0000;0.5825;0.3378;0.0101;2.0127;-9999;0.6495
1794.6000;1.0000;180.6590;2.0000;0.6320;0.3311;0.0059;2.0274;-9999;0.6457
1794.7500;1.0000;175.3250;2.0000;0.7400;0.3245;0.0019;2.0422;-9999;0.6419
1794.9000;1.0000;169.9860;2.0000;0.8480;0.3178;0.0088;2.0569;-9999;0.6160
1795.0500;1.0000;165.7500;2.0000;1.0094;0.3101;0.0248;2.0717;-9999;0.5696
1795.2000;1.0000;161.5100;2.0000;1.1710;0.3023;0.0403;2.0616;-9999;0.5280
1795.3500;1.0000;157.8183;2.0000;1.1950;0.2946;0.0527;2.0515;-9999;0.4941
1795.5000;1.0000;154.1230;2.0000;1.2190;0.2868;0.0637;2.0413;-9999;0.4625
1795.6500;1.0000;156.8182;2.0000;1.4164;0.2248;0.0096;2.0312;-9999;0.4452
1795.8000;1.0000;159.5160;2.0000;1.6140;0.2326;0.0039;2.0211;-9999;0.4706
